location,groundwater_level,pH,TDS,COD,BOD,status,last_updated
Thiruthuraipoondi,22.8,7.3,690,19,8,Not recommended for drinking,2025-07-21
Valparai,13.9,7.2,460,10,3,Recommended for drinking,2025-07-20
Velankanni,21.4,7.1,620,16,6,Recommended for irrigation,2025-07-19
Vijayawada,16.0,7.2,500,12,5,Recommended for drinking & irrigation,2025-09-20
Visakhapatnam,15.8,7.3,480,11,4,Recommended for drinking,2025-09-20
Nellore,20.2,7.4,630,15,6,Not recommended for drinking,2025-09-19
Guntur,18.4,7.1,550,13,5,Recommended for irrigation,2025-09-19
Rajahmundry,17.6,7.1,530,12,5,Recommended for irrigation,2025-09-17
Kakinada,15.9,7.3,490,10,4,Recommended for drinking,2025-09-15
Eluru,17.0,7.2,520,12,5,Recommended for drinking,2025-09-14
Srikakulam,16.7,7.2,500,11,4,Recommended for drinking,2025-09-12
Vizianagaram,16.5,7.3,495,11,4,Recommended for drinking,2025-09-11
Tirupati,17.9,7.0,520,12,5,Recommended for drinking & irrigation,2025-09-18
Kurnool,21.0,6.8,590,14,6,Not recommended for drinking,2025-09-18
Kadapa,22.3,6.9,610,16,6,Not recommended for drinking,2025-09-17
Anantapur,23.1,7.0,650,17,7,Not recommended for drinking,2025-09-16
Machilipatnam,16.5,7.2,510,11,5,Recommended for drinking,2025-09-16
Chittoor,18.1,7.1,540,13,5,Recommended for drinking & irrigation,2025-09-15
Proddatur,20.5,6.9,600,15,6,Not recommended for drinking,2025-09-14
Tadepalligudem,17.3,7.1,535,13,5,Recommended for irrigation,2025-09-13
Ongole,19.8,7.0,580,14,6,Recommended for irrigation,2025-09-12
Tenali,18.9,7.1,555,13,5,Recommended for irrigation,2025-09-11
Nandyal,21.4,6.8,620,16,6,Not recommended for drinking,2025-09-10
Rayachoti,22.6,7.0,640,17,7,Not recommended for drinking,2025-09-10
Srikalahasti,17.8,7.2,520,12,5,Recommended for drinking & irrigation,2025-09-09
Puttur,19.2,7.1,550,14,5,Recommended for irrigation,2025-09-09
Gudivada,16.9,7.2,510,11,5,Recommended for drinking,2025-09-08
Tiruvuru,17.5,7.0,530,13,5,Recommended for drinking & irrigation,2025-09-08
Pulivendula,20.8,6.9,610,15,6,Not recommended for drinking,2025-09-07
Adoni,22.1,7.0,630,16,6,Not recommended for drinking,2025-09-07
Srisailam,19.5,6.9,600,15,6,Recommended for irrigation,2025-09-06
Bhimavaram,15.7,7.3,495,10,4,Recommended for drinking,2025-09-06
Madanapalle,18.2,7.1,540,13,5,Recommended for drinking & irrigation,2025-09-05
Puducherry,13.0,7.1,495,12,5,Recommended for drinking,2025-09-18
Oulgaret,13.1,7.3,470,9,3,Recommended for drinking,2025-09-18
Villianur,14.2,7.1,510,12,5,Recommended for irrigation,2025-09-17
Ariyankuppam,13.8,7.0,530,13,5,Recommended for irrigation,2025-09-17
Bahour,15.0,6.9,600,15,6,Not recommended for drinking,2025-09-16
Karaikal,11.9,7.2,460,9,4,Recommended for drinking,2025-09-16
Mahe,10.5,7.3,450,8,3,Recommended for drinking,2025-09-15
Yanam,12.2,7.1,495,10,4,Recommended for drinking & irrigation,2025-09-15
